Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
AIM/CGE,SSP3-Baseline,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,40932.946,49329.322,55336.063,60014.932,63423.821,66993.465,70561.921,75234.113,80069.712,
GCAM4,SSP4-34,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,37666.519,35463.720,28819.764,20422.591,12996.412,5616.725,-2141.520,-9644.611,-16294.279,
GCAM4,SSP4-60,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,37666.521,44208.021,46631.658,46848.405,45853.057,43710.173,38003.450,31308.398,23832.125,
IMAGE,SSP1-19,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,36518.129,22474.944,9091.440,2865.449,-35.463,-2644.691,-5186.803,-8342.060,-11508.354,
IMAGE,SSP1-26,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,36625.684,34546.361,26896.982,19722.162,13114.594,7060.297,-848.141,-6300.502,-5718.750,
MESSAGE-GLOBIOM,SSP2-45,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,37388.129,40594.676,42088.588,42961.273,41736.400,37446.622,30235.718,20641.514,14482.936,
REMIND-MAGPIE,SSP5-Baseline,World,Harmonized Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,39762.662,50749.711,65339.963,81245.232,100199.210,117035.180,129794.887,131071.607,127817.627,
" © SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2021-01-25 13:57:10",,,,,,,,,,,,,,,,
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation,,,,,,,,,,,,,,,,
